Tahun;Wilayah;Sebaran;Sembuh;Kematian;Jml_tenaga_keperawatan;Jml_Rumah_Sakit;Jml_Nakes;Jml_penduduk;Jml_penduduk_bekerja;Jml_perilaku_hidup_sehat
2020;BANDUNG;2592;1858;148;1893;10;90;3583056;1569974;195419
2020;BANDUNG BARAT;1175;837;51;1047;9;45;1712348;656087;219561
2020;BEKASI;1866;1225;42;3811;50;62;2880280;1628231;621474
2020;BOGOR;6267;2921;173;3615;29;78;5132355;2342939;570448
2020;CIAMIS;1029;580;29;1113;5;40;1259984;640767;86020
2020;CIANJUR;1783;915;20;952;5;57;2368613;1054579;402092
2020;CIREBON;2755;2298;109;2808;12;79;2296999;938217;23969
2020;GARUT;2265;1945;62;4177;6;54;2514515;1052573;335412
2020;INDRAMAYU;1132;563;77;1570;11;80;1871149;854045;64961
2020;KARAWANG;2845;1849;76;2965;24;48;2361019;1028735;331477
2020;KOTA BANDUNG;1112;844;79;1242;12;48;1183740;463164;181974
2020;KOTA BANJAR;1114;1105;24;881;5;34;1315272;625576;295839
2020;KOTA BEKASI;276;200;4;446;1;30;428242;233143;93818
2020;KOTA BOGOR;873;571;25;1494;11;29;974304;384543;164419
2020;KOTA CIMAHI;1109;725;90;922;8;49;1583935;746284;284425
2020;KOTA CIREBON;2288;1693;5;1889;8;78;2626762;1036735;362219
2020;KOTA DEPOK;807;552;73;1030;3;39;1159454;574606;169478
2020;KOTA SUKABUMI;1766;1273;98;1075;2;37;1803800;877416;145089
2020;KOTA TASIKMALAYA;3189;1864;206;6104;36;97;2500967;1167849;83111
2020;KUNINGAN;395;386;6;406;3;20;205482;91602;46676
2020;MAJALENGKA;3188;1984;71;5433;46;55;2464719;1348530;34823
2020;PANGANDARAN;1132;908;35;2654;21;50;1064698;449120;135463
2020;PURWAKARTA;587;473;7;1441;7;21;557911;254699;60240
2020;SUBANG;730;603;18;1320;11;33;343003;139334;44311
2020;SUKABUMI;2070;1570;88;2817;24;41;1872996;1077600;321458
2020;SUMEDANG;537;493;13;1125;6;31;351459;122662;54842
2020;TASIKMALAYA;891;571;40;1417;12;31;725561;315844;70975
2021;BANDUNG;1698;857;188;1952;10;91;3633437;1673019;367264
2021;BANDUNG BARAT;721;364;42;1047;9;35;1780767;676733;363351
2021;BEKASI;1489;412;47;3957;50;71;3022787;1756261;554077
2021;BOGOR;4296;1558;218;3995;29;124;5327131;2445768;573352
2021;CIAMIS;748;245;43;1665;6;58;1263198;637102;96743
2021;CIANJUR;1561;248;84;952;5;57;2437838;1066323;442503
2021;CIREBON;1585;537;108;2969;12;77;2365048;970262;189083
2021;GARUT;1611;459;93;2870;7;79;2628725;1096134;282908
2021;INDRAMAYU;641;148;34;1560;11;86;1885172;875280;45951
2021;KARAWANG;1862;798;129;3093;25;44;2406895;1023790;326480
2021;KOTA BANDUNG;789;364;64;1242;12;48;1198814;479405;187029
2021;KOTA BANJAR;878;577;33;1070;5;36;1323854;614417;211474
2021;KOTA BEKASI;209;58;17;644;1;38;432599;233703;94504
2021;KOTA BOGOR;538;185;33;1494;11;29;1001338;391444;178321
2021;KOTA CIMAHI;875;194;76;1856;9;61;1596179;763589;266437
2021;KOTA CIREBON;1791;1049;17;2156;9;70;2708966;1105875;362219
2021;KOTA DEPOK;527;104;56;1217;3;45;1165047;581097;193165
2021;KOTA SUKABUMI;1295;567;85;987;2;40;1865898;878438;206987
2021;KOTA TASIKMALAYA;2592;856;276;8457;38;133;2527854;1185623;97979
2021;KUNINGAN;162;194;6;606;4;16;205732;88631;46517
2021;MAJALENGKA;1462;402;92;5057;48;68;2468448;1376447;40596
2021;PANGANDARAN;608;205;38;3161;23;44;1091396;466645;145792
2021;PURWAKARTA;451;200;24;1468;8;28;560746;254059;65195
2021;SUBANG;492;347;23;1223;11;33;343667;139397;46322
2021;SUKABUMI;1362;493;60;3389;24;62;1893321;1089295;347237
2021;SUMEDANG;365;109;28;1288;6;34;353631;128395;54842
2021;TASIKMALAYA;567;351;23;1546;12;35;731606;316349;73447
2022;BANDUNG;1990;1239;147;2310;15;97;3708344;1682510;388891
2022;BANDUNG BARAT;946;468;50;1091;11;50;1826946;740639;233457
2022;BEKASI;1632;712;78;4444;53;95;3147268;1799668;583003
2022;BOGOR;5384;2094;267;4374;30;136;5473476;2589167;552261
2022;CIAMIS;675;309;58;1207;6;55;1267878;639600;154413
2022;CIANJUR;1364;328;73;1678;5;60;2506384;1119786;534689
2022;CIREBON;1839;1012;92;3049;12;69;2411302;1020411;206354
2022;GARUT;1755;632;108;2464;7;70;2759490;1229218;366250
2022;INDRAMAYU;734;171;44;1648;12;80;1912850;890992;230442
2022;KARAWANG;1984;977;131;3313;26;56;2509839;1077939;288472
2022;KOTA BANDUNG;929;514;72;1418;12;50;1218332;478750;419495
2022;KOTA BANJAR;949;722;34;1242;5;60;1340016;617320;169125
2022;KOTA BEKASI;157;94;11;562;1;52;436748;256684;104738
2022;KOTA BOGOR;729;371;59;1835;11;41;1020994;430788;189042
2022;KOTA CIMAHI;1058;299;79;1324;11;50;1618380;800701;301181
2022;KOTA CIREBON;1678;894;31;2167;9;89;2762500;1211763;382327
2022;KOTA DEPOK;475;161;59;944;3;48;1187620;562416;204106
2022;KOTA SUKABUMI;1367;859;114;1091;2;49;1939683;901466;226236
2022;KOTA TASIKMALAYA;2643;984;305;6645;39;160;2545005;1298537;110473
2022;KUNINGAN;146;89;6;494;4;16;207625;89588;47023
2022;MAJALENGKA;2055;688;114;5445;47;77;2486251;1452223;25860
2022;PANGANDARAN;1074;413;156;3029;22;65;1114018;496570;146529
2022;PURWAKARTA;694;266;24;1604;8;26;566537;286038;62632
2022;SUBANG;645;395;61;1322;11;33;346438;149860;47303
2022;SUKABUMI;2007;1087;123;3372;26;64;1920182;1160313;365258
2022;SUMEDANG;474;107;38;1221;6;39;358854;145522;54842
2022;TASIKMALAYA;750;513;44;1597;14;39;746710;324099;75595
2023;BANDUNG;3144;1817;414;3236;17;100;3749172;1756328;441772
2023;BANDUNG BARAT;1325;724;73;3249;12;61;1847096;870269;284366
2023;BEKASI;3003;1173;128;3248;55;77;3197006;1451622;701147
2023;BOGOR;8783;3122;555;3233;31;114;5558885;2505069;534941
2023;CIAMIS;1103;488;72;3239;6;47;1281201;634660;124861
2023;CIANJUR;2235;775;122;3235;7;49;2535002;1283307;555646
2023;CIREBON;3254;1700;154;3241;13;87;2437899;1101094;217011
2023;GARUT;2678;814;186;3237;9;61;2753949;1289745;409464
2023;INDRAMAYU;1230;274;105;3244;12;78;1933948;880854;75182
2023;KARAWANG;3485;1335;189;3247;26;58;2539381;1117496;286574
2023;KOTA BANDUNG;1360;785;76;3240;12;57;1231772;519658;182786
2023;KOTA BANJAR;1457;1102;60;3242;6;57;1354803;689821;216758
2023;KOTA BEKASI;298;114;34;3250;1;56;442205;270386;119076
2023;KOTA BOGOR;1229;401;79;3246;11;36;1036768;479290;178791
2023;KOTA CIMAHI;1552;414;116;3245;11;50;1636233;839759;255923
2023;KOTA CIREBON;2310;975;55;3234;9;79;2790320;1344044;413433
2023;KOTA DEPOK;875;376;83;3243;5;47;1205685;582674;247142
2023;KOTA SUKABUMI;1961;1129;147;3238;3;45;1958221;970598;254757
2023;KOTA TASIKMALAYA;3834;1324;424;3305;42;151;2569107;1202485;100558
2023;KUNINGAN;349;94;21;3311;4;24;208309;103010;46049
2023;MAJALENGKA;3687;1275;196;3307;48;89;2513669;1214160;52173
2023;PANGANDARAN;2217;816;270;3303;22;67;1127408;484334;153170
