"SEBARAN";"KEMATIAN";"WILAYAH";"TAHUN";"SEMBUH";"Jumlah tenaga
keperawatan";"Jumlah
Rumah Sakit";"Jumlah
Nakes";"Jumlah penduduk";"jumlah_
penduduk
bekerja";"jumlah perilaku
hidup sehat";"id";"cluster"
0.2832001852495079;0.2613430127041742;"KABUPATEN BANDUNG";2020;1858;1893;10;90;3583056;1569974;195419;1;"cluster_1"
0.11913858978812088;0.0852994555353902;"KABUPATEN BANDUNG BARAT";2020;837;1047;9;45;1712348;656087;219561;2;"cluster_0"
0.19914322102581916;0.06896551724137931;"KABUPATEN BEKASI";2020;1225;3811;50;62;2880280;1628231;621474;3;"cluster_0"
0.708695148778511;0.30671506352087113;"KABUPATEN BOGOR";2020;2921;3615;29;78;5132355;2342939;570448;4;"cluster_1"
0.10223457218941762;0.045372050816696916;"KABUPATEN CIAMIS";2020;580;1113;5;40;1259984;640767;86020;5;"cluster_2"
0.18953340280189881;0.029038112522686024;"KABUPATEN CIANJUR";2020;915;952;5;57;2368613;1054579;402092;6;"cluster_0"
0.302072478869978;0.19056261343012704;"KABUPATEN CIREBON";2020;2298;2808;12;79;2296999;938217;23969;7;"cluster_0"
0.2453398170661109;0.10526315789473684;"KABUPATEN GARUT";2020;1945;4177;6;54;2514515;1052573;335412;8;"cluster_0"
0.1141600092624754;0.132486388384755;"KABUPATEN INDRAMAYU";2020;563;1570;11;80;1871149;854045;64961;9;"cluster_0"
0.31249276369109646;0.1306715063520871;"KABUPATEN KARAWANG";2020;1849;2965;24;48;2361019;1028735;331477;10;"cluster_0"
0.11184439041333796;0.13611615245009073;"KABUPATEN KUNINGAN";2020;844;1242;12;48;1183740;463164;181974;11;"cluster_2"
0.11207595229825171;0.036297640653357534;"KABUPATEN MAJALENGKA";2020;1105;881;5;34;1315272;625576;295839;12;"cluster_2"
0.015051522519393307;0.0;"KABUPATEN PANGANDARAN";2020;200;446;1;30;428242;233143;93818;13;"cluster_2"
0.08417274516614565;0.038112522686025406;"KABUPATEN PURWAKARTA";2020;571;1494;11;29;974304;384543;164419;14;"cluster_2"
0.11149704758596735;0.1560798548094374;"KABUPATEN SUBANG";2020;725;922;8;49;1583935;746284;284425;15;"cluster_0"
0.24800277874261897;0.0018148820326678765;"KABUPATEN SUKABUMI";2020;1693;1889;8;78;2626762;1036735;362219;16;"cluster_0"
0.07653120296399213;0.12522686025408347;"KABUPATEN SUMEDANG";2020;552;1030;3;39;1159454;574606;169478;17;"cluster_2"
0.18756512678013199;0.1705989110707804;"KABUPATEN TASIKMALAYA";2020;1273;1075;2;37;1803800;877416;145089;18;"cluster_0"
0.35232140789626026;0.3666061705989111;"KOTA BANDUNG";2020;1864;6104;36;97;2500967;1167849;83111;19;"cluster_0"
0.02882945467176103;0.003629764065335753;"KOTA BANJAR";2020;386;406;3;20;205482;91602;46676;20;"cluster_2"
0.3522056269538034;0.12159709618874773;"KOTA BEKASI";2020;1984;5433;46;55;2464719;1348530;34823;21;"cluster_0"
0.1141600092624754;0.056261343012704176;"KOTA BOGOR";2020;908;2654;21;50;1064698;449120;135463;22;"cluster_2"
0.05105939562348037;0.0054446460980036296;"KOTA CIMAHI";2020;473;1441;7;21;557911;254699;60240;23;"cluster_2"
0.06761607039481302;0.025408348457350273;"KOTA CIREBON";2020;603;1320;11;33;343003;139334;44311;24;"cluster_2"
0.22276253328702095;0.15245009074410162;"KOTA DEPOK";2020;1570;2817;24;41;1872996;1077600;321458;25;"cluster_0"
0.0452703485006368;0.016333938294010888;"KOTA SUKABUMI";2020;493;1125;6;31;351459;122662;54842;26;"cluster_2"
0.08625680213036935;0.06533575317604355;"KOTA TASIKMALAYA";2020;571;1417;12;31;725561;315844;70975;27;"cluster_2"
0.17969202269306472;0.3339382940108893;"KABUPATEN BANDUNG";2021;857;1952;10;91;3633437;1673019;367264;28;"cluster_1"
0.06657404191270117;0.06896551724137931;"KABUPATEN BANDUNG BARAT";2021;364;1047;9;35;1780767;676733;363351;29;"cluster_0"
0.15549380571957855;0.0780399274047187;"KABUPATEN BEKASI";2021;412;3957;50;71;3022787;1756261;554077;30;"cluster_0"
0.4804909111960171;0.38838475499092556;"KABUPATEN BOGOR";2021;1558;3995;29;124;5327131;2445768;573352;31;"cluster_1"
0.0697001273590367;0.07078039927404718;"KABUPATEN CIAMIS";2021;245;1665;6;58;1263198;637102;96743;32;"cluster_2"
